# taxa  Frequency(n)   propn
#  677   00000000010000000000   1   
#  678   00000000010000000000   1   
#  679   00000000010000000000   1   
#  680   00000000010000000000   1   
#  681   00000000010000000000   1   
#  682   00000000010000000000   1   
#  683   00000000010000000000   1   
#  684   00000000010000000000   1   
#  685   00000000010000000000   1   
#  686   00000000010000000000   1   
#  687   00000000010000000000   1   
#  688   00000000010000000000   1   
#  689   00000000010000000000   1   
#  690   00000000010000000000   1   
#  691   00000000010000000000   1   
#  692   00000000010000000000   1   
#  693   00000000010000000000   1   
#  694   00000000010000000000   1   
#  695   00000000010000000000   1   
#  696   00000000010000000000   1   
#  697   00000000010000000000   1   
#  698   00000000010000000000   1   
#  699   00000000010000000000   1   
#  700   00000000010000000000   1   
#  701   00000000010000000000   1   
#  702   00000000010000000000   1   
#  703   00000000010000000000   1   
#  704   00000000010000000000   1   
#  705   00000000010000000000   1   
#  706   00000000010000000000   1   
#  707   00000000010000000000   1   
#  708   00000000010000000000   1   
#  709   00000000010000000000   1   
#  710   00000000010000000000   1   
#  711   00000000010000000000   1   
#  712   00000000010000000000   1   
#  713   00000000010000000000   1   
#  714   00000000010000000000   1   
#  715   00000000010000000000   1   
#  716   00000000010000000000   1   
#  717   00000000010000000000   1   
#  718   00000000010000000000   1   
#  719   00000000010000000000   1   
#  720   00000000010000000000   1   
#  721   00000000010000000000   1   
#  722   00000000010000000000   1   
#  723   00000000010000000000   1   
#  724   00000000010000000000   1   
#  725   00000000010000000000   1   
#  726   00000000010000000000   1   
#  727   00000000010000000000   1   
#  728   00000000010000000000   1   
#  729   00000000010000000000   1   
#  730   00000000010000000000   1   
#  731   00000000010000000000   1   
#  732   00000000010000000000   1   
#  733   00000000010000000000   1   
#  734   00000000010000000000   1   
#  735   00000000010000000000   1   
#  736   00000000010000000000   1   
#  737   00000000010000000000   1   
#  738   00000000010000000000   1   
#  739   00000000010000000000   1   
#  740   00000000010000000000   1   
#  741   00000000010000000000   1   
#  742   00000000010000000000   1   
#  743   00000000010000000000   1   
#  744   00000000010000000000   1   
#  745   00000000010000000000   1   
#  746   00000000010000000000   1   
#  747   00000000010000000000   1   
#  748   00000000010000000000   1   
#  749   00000000010000000000   1   
#  750   00000000010000000000   1   
#  751   00000000010000000000   1   
#  752   00000000010000000000   1   
#  753   00000000010000000000   1   
#  754   00000000010000000000   1   
