# taxa  Frequency(n)   propn
#  634   00000000000000000000   0   
#  635   00000000000000010000   1   
#  636   00000000000000000000   0   
#  637   00000000000000000000   0   
#  638   00000100000000100000   2   
#  639   00001000000000000000   1   
#  640   00000000000001000000   1   
#  641   00000000000000000000   0   
#  642   00000000000000001000   1   
#  643   00000000000000001000   1   
#  644   00000000000000000000   0   
#  645   00000000000000000000   0   
#  646   00000001000000000000   1   
#  647   10100000000000100000   3   
#  648   00000000000000001000   1   
#  649   00000000000001100000   2   
#  650   00000000000000000000   0   
#  651   00000000000000000000   0   
#  652   00000000000000000000   0   
#  653   00100000000000000000   1   
#  654   00001000000110000000   3   
#  655   00000000000000000000   0   
#  656   00000000000000000000   0   
#  657   00000000000000010000   1   
#  658   00000000000000100001   2   
#  659   00000000000000000000   0   
#  660   00000000000001010101   4   
#  661   00000000000000000010   1   
#  662   01000010000000000000   2   
#  663   00000000000000000000   0   
#  664   00001000000000000000   1   
#  665   00000000010000000000   1   
#  666   00000000000000000000   0   
#  667   00000000000000000000   0   
#  668   00000000000010000000   1   
#  669   00000000001000000000   1   
#  670   00000000000000000000   0   
#  671   00000000001000000000   1   
#  672   00000010010000000000   2   
#  673   00000000000000000000   0   
#  674   00000000000000000000   0   
#  675   00001000000000000000   1   
#  676   00000000000000000000   0   
#  677   00000000100000100000   2   
#  678   00010000000000001000   2   
#  679   00100000100000000100   3   
#  680   00000000000000000000   0   
#  681   00000000000000000000   0   
#  682   00000000100000000000   1   
#  683   00000000000000000000   0   
#  684   10000001000000000000   2   
#  685   00000000000000000000   0   
#  686   00000100000000000000   1   
#  687   00000000000000010000   1   
#  688   00000000000000000100   1   
#  689   00000000000000000000   0   
#  690   00001000100010000000   3   
#  691   00000000000000000001   1   
#  692   00100001000010000000   3   
#  693   00000000000000000000   0   
#  694   00000000001000000000   1   
#  695   00000000000000000100   1   
#  696   00000000000000000000   0   
#  697   00000000000001000000   1   
#  698   01000010000000000000   2   
#  699   00000000000000000001   1   
#  700   00000000000000000000   0   
#  701   00000001000000000000   1   
#  702   00000000100001000000   2   
#  703   00000000000000000000   0   
#  704   10000000000000000000   1   
#  705   00000000000000000000   0   
#  706   00000000000000000000   0   
#  707   00000000000000000000   0   
#  708   00000000000000000000   0   
#  709   00000000010000000000   1   
#  710   00000000000000000000   0   
#  711   00010000000000000000   1   
#  712   00001000000001000000   2   
#  713   00000000000000000100   1   
#  714   00000000000000010000   1   
#  715   00000010101000001000   4   
#  716   00000000000000000000   0   
#  717   00000000000000000010   1   
#  718   00000000000000000000   0   
#  719   00000010000000000000   1   
#  720   00000100000000001000   2   
#  721   00000000000000000000   0   
#  722   00001000000000000000   1   
#  723   01100000000000000001   3   
#  724   00000100000000000000   1   
#  725   00000000100000001000   2   
#  726   00000000000000100000   1   
#  727   00000000000000010000   1   
#  728   00000000000000010000   1   
#  729   00000000000000000000   0   
#  730   00000000000100000000   1   
#  731   00000001000000000001   2   
#  732   00001010000000000000   2   
#  733   00000010000000000000   1   
#  734   00000000000000000000   0   
#  735   00000000000000010000   1   
#  736   00000001000001000000   2   
#  737   00000000000000000000   0   
#  738   00001000000000000000   1   
#  739   00000000000000000000   0   
#  740   00000000100000000000   1   
#  741   00000100001000010000   3   
#  742   00000000000000000000   0   
#  743   00000010000001000000   2   
#  744   00000000000000000000   0   
#  745   00000000000000001000   1   
#  746   00000000000000000100   1   
#  747   00000000000000000000   0   
#  748   00000000000000000000   0   
#  749   00000000000000000000   0   
#  750   00000000000000000000   0   
#  751   00000000000000000000   0   
#  752   00000000000100100000   2   
#  753   00000100000000000000   1   
#  754   00000000000000000000   0   
#  755   10000000000001000000   2   
#  756   00000000000000000000   0   
#  757   00000000000000000000   0   
#  758   00000000000000001000   1   
#  759   10000000100000010000   3   
#  760   00000000000000000000   0   
#  761   00000000010000000000   1   
#  762   00000000000001000000   1   
#  763   00000001000000000000   1   
#  764   00000000000000000000   0   
#  765   01000000000000000000   1   
#  766   00000000000000000000   0   
#  767   00100000000001000000   2   
#  768   00000010001000001000   3   
#  769   01000000000000010000   2   
#  770   00100000100000000000   2   
#  771   00000000000000000000   0   
#  772   00000010000000000000   1   
#  773   00000000000000100000   1   
#  774   00000000001000000000   1   
#  775   00010000000000000000   1   
#  776   10000000000000000001   2   
#  777   00000000000000000000   0   
#  778   00000000000000000000   0   
#  779   00000000000000010100   2   
#  780   10000000000010000000   2   
#  781   00000000010010000000   2   
#  782   00000000000000000000   0   
#  783   00000000000000000000   0   
#  784   00000000000000000110   2   
#  785   01000000000000000000   1   
#  786   00000100010000000000   2   
#  787   00000000000000000000   0   
#  788   00000000000011000000   2   
#  789   00000000000000000100   1   
#  790   01000010000000100000   3   
#  791   00000000000000000010   1   
#  792   00000000011100000000   3   
#  793   00100000000000000000   1   
#  794   00000000000000000000   0   
#  795   00010000000000000000   1   
#  796   00000000000000000000   0   
#  797   00010000000000000100   2   
#  798   00010001000000000000   2   
#  799   00000000000000000000   0   
#  800   00010000000000000000   1   
#  801   00000000001000001000   2   
#  802   00000000000010000000   1   
#  803   00100000000000000000   1   
#  804   00000000000000000100   1   
#  805   00000000000000000000   0   
#  806   00000000000000000000   0   
#  807   00000000000000000000   0   
#  808   00000000000110000000   2   
#  809   00000000010000000000   1   
#  810   00000101000000000000   2   
#  811   00000000000000000000   0   
#  812   00000000000000000000   0   
#  813   00010000000100000000   2   
#  814   00000000000011000000   2   
#  815   00000000000000000000   0   
#  816   00000001000000000100   2   
#  817   00000000000000000010   1   
#  818   00000000000000000100   1   
